Project,Precision,Recall,Auc_Score,Accuracy,Fmeasure,GMean
ant-1.7.csv,0.75,0.5602409638554217,0.8344153817341908,0.8604026845637583,0.6413793103448276,0.648213485582926
arc.csv,0.4,0.37037037037037035,0.7867239219896224,0.8632478632478633,0.3846153846153846,0.3849001794597505
camel-1.6.csv,0.5684210526315789,0.2872340425531915,0.7350146499082668,0.8186528497409327,0.3816254416961131,0.4040666737305972
e-learning.csv,0.75,0.6,0.9288135593220339,0.953125,0.6666666666666665,0.6708203932499369
intercafe.csv,1.0,0.75,0.9021739130434783,0.9629629629629629,0.8571428571428571,0.8660254037844386
ivy-2.0.csv,0.6521739130434783,0.375,0.8287259615384616,0.90625,0.4761904761904762,0.49453535504684026
jedit-4.3.csv,0.42857142857142855,0.2727272727272727,0.828009828009828,0.975609756097561,0.33333333333333326,0.3418817293789138
kalkulator.csv,0.6,0.5,0.8968253968253969,0.8148148148148148,0.5454545454545454,0.5477225575051661
log4j-1.2.csv,0.9278350515463918,0.9523809523809523,0.701058201058201,0.8878048780487805,0.9399477806788511,0.9400278879076847
lucene-2.4.csv,0.8382352941176471,0.8423645320197044,0.8460321455539175,0.8088235294117647,0.8402948402948404,0.84029737667793
nieruchomosci.csv,0.7777777777777778,0.7,0.9058823529411765,0.8148148148148148,0.7368421052631577,0.7378647873726218
pbeans2.csv,0.75,0.6,0.6051282051282051,0.8775510204081632,0.6666666666666665,0.6708203932499369
pdftranslator.csv,1.0,0.7333333333333333,0.9981481481481481,0.8787878787878788,0.846153846153846,0.8563488385776752
poi-2.5.csv,0.891213389121339,0.8588709677419355,0.9025782905580411,0.8415584415584415,0.8747433264887065,0.8748927396996814
prop-6.csv,0.5,0.22727272727272727,0.7448347107438016,0.9,0.3125,0.337099931231621
redaktor.csv,0.6842105263157895,0.48148148148148145,0.768083519761372,0.8863636363636364,0.5652173913043478,0.5739640213948523
serapion.csv,0.7142857142857143,0.5555555555555556,0.8981481481481481,0.8666666666666667,0.6250000000000001,0.629940788348712
skarbonka.csv,0.25,0.1111111111111111,0.7993827160493826,0.7555555555555555,0.15384615384615383,0.16666666666666666
sklebagd.csv,0.9166666666666666,0.9166666666666666,0.90625,0.9,0.9166666666666666,0.9166666666666666
synapse-1.2.csv,0.7857142857142857,0.6395348837209303,0.831361149110807,0.8203125,0.7051282051282051,0.7088664855613922
systemdata.csv,0.75,0.3333333333333333,0.6051587301587301,0.8923076923076924,0.46153846153846156,0.5
szybkafucha.csv,0.8333333333333334,0.7142857142857143,0.8376623376623378,0.76,0.7692307692307692,0.7715167498104596
termoproject.csv,1.0,0.5384615384615384,0.8938992042440319,0.8571428571428571,0.7000000000000001,0.7337993857053428
tomcat.csv,0.627906976744186,0.35064935064935066,0.8084457156160101,0.9230769230769231,0.45,0.4692282745781053
velocity-1.6.csv,0.6986301369863014,0.6538461538461539,0.8163525216505348,0.7860262008733624,0.6754966887417219,0.6758673154025905
workflow.csv,0.5238095238095238,0.55,0.47500000000000003,0.5128205128205128,0.5365853658536585,0.5367450401216933
wspomaganiepi.csv,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.8888888888888888,0.9166666666666666,0.9166666666666666
xalan-2.7.csv,0.9955604883462819,0.9988864142538976,0.938803401498279,0.9944994499449945,0.9972206781545302,0.997222064726346
xerces-1.4.csv,0.9473684210526315,0.9473684210526315,0.9224923090911846,0.9217687074829932,0.9473684210526315,0.9473684210526315
zuzel.csv,0.9090909090909091,0.7692307692307693,0.8990384615384616,0.8620689655172413,0.8333333333333333,0.8362420100070908
