Project,Precision,Recall,Auc_Score,Accuracy,Fmeasure,GMean
ant-1.7.csv,0.7222222222222222,0.5481927710843374,0.8366627130282789,0.8523489932885906,0.6232876712328768,0.6292193586808087
arc.csv,0.5,0.3333333333333333,0.7799248523886205,0.8846153846153846,0.4,0.408248290463863
camel-1.6.csv,0.5643564356435643,0.30319148936170215,0.7459678523508312,0.8186528497409327,0.3944636678200692,0.4136521101766965
e-learning.csv,0.5,0.6,0.8542372881355932,0.921875,0.5454545454545454,0.5477225575051661
intercafe.csv,1.0,0.75,0.9021739130434783,0.9629629629629629,0.8571428571428571,0.8660254037844386
ivy-2.0.csv,0.6363636363636364,0.35,0.8111378205128205,0.9034090909090909,0.45161290322580644,0.47193990372426947
jedit-4.3.csv,0.42857142857142855,0.2727272727272727,0.8626913626913627,0.975609756097561,0.33333333333333326,0.3418817293789138
kalkulator.csv,0.6,0.5,0.873015873015873,0.8148148148148148,0.5454545454545454,0.5477225575051661
log4j-1.2.csv,0.9278350515463918,0.9523809523809523,0.7013888888888888,0.8878048780487805,0.9399477806788511,0.9400278879076847
lucene-2.4.csv,0.8258706467661692,0.8177339901477833,0.8422566610334041,0.788235294117647,0.8217821782178217,0.8217922482757001
nieruchomosci.csv,0.75,0.6,0.9058823529411765,0.7777777777777778,0.6666666666666665,0.6708203932499369
pbeans2.csv,0.5,0.3,0.5794871794871795,0.7959183673469388,0.37499999999999994,0.3872983346207417
pdftranslator.csv,0.9230769230769231,0.8,0.9814814814814814,0.8787878787878788,0.8571428571428571,0.8593378488473195
poi-2.5.csv,0.899581589958159,0.8669354838709677,0.9082882034377208,0.8519480519480519,0.8829568788501027,0.8831076950020258
prop-6.csv,0.42857142857142855,0.18181818181818182,0.7487118661361085,0.8939393939393939,0.2553191489361702,0.27914526311954124
redaktor.csv,0.6842105263157895,0.48148148148148145,0.7690778026348496,0.8863636363636364,0.5652173913043478,0.5739640213948523
serapion.csv,1.0,0.5555555555555556,0.9197530864197531,0.9111111111111111,0.7142857142857143,0.7453559924999299
skarbonka.csv,0.42857142857142855,0.3333333333333333,0.7962962962962963,0.7777777777777778,0.375,0.3779644730092272
sklebagd.csv,0.7333333333333333,0.9166666666666666,0.8541666666666666,0.75,0.8148148148148148,0.8198915917499229
synapse-1.2.csv,0.7361111111111112,0.6162790697674418,0.8245554035567716,0.796875,0.6708860759493671,0.6735353523023373
systemdata.csv,0.75,0.3333333333333333,0.6051587301587301,0.8923076923076924,0.46153846153846156,0.5
szybkafucha.csv,0.8181818181818182,0.6428571428571429,0.8441558441558441,0.72,0.7200000000000001,0.7252406676228423
termoproject.csv,0.8888888888888888,0.6153846153846154,0.9018567639257294,0.8571428571428571,0.7272727272727274,0.7396002616336389
tomcat.csv,0.6521739130434783,0.38961038961038963,0.8281257794702097,0.9265734265734266,0.4878048780487804,0.5040771095324622
velocity-1.6.csv,0.684931506849315,0.6410256410256411,0.8154185770079809,0.777292576419214,0.6622516556291391,0.662615015100579
workflow.csv,0.47058823529411764,0.4,0.4710526315789474,0.46153846153846156,0.4324324324324324,0.4338609156373123
wspomaganiepi.csv,0.9166666666666666,0.9166666666666666,0.9305555555555556,0.8888888888888888,0.9166666666666666,0.9166666666666666
xalan-2.7.csv,0.9955604883462819,0.9988864142538976,0.938803401498279,0.9944994499449945,0.9972206781545302,0.997222064726346
xerces-1.4.csv,0.9430523917995444,0.9473684210526315,0.9251064603634049,0.9183673469387755,0.9452054794520547,0.9452079429358611
zuzel.csv,1.0,0.7692307692307693,0.9086538461538463,0.896551724137931,0.8695652173913044,0.8770580193070292
