Project,Precision,Recall,Auc_Score,Accuracy,Fmeasure,GMean
ant-1.7.csv,0.6420454545454546,0.6807228915662651,0.8444815531556277,0.8442953020134228,0.6608187134502924,0.661101382796284
arc.csv,0.4,0.37037037037037035,0.7541599570585078,0.8632478632478633,0.3846153846153846,0.3849001794597505
camel-1.6.csv,0.6240601503759399,0.44148936170212766,0.7542614803253102,0.8393782383419689,0.5171339563862928,0.5248961015793577
e-learning.csv,0.25,0.6,0.840677966101695,0.828125,0.35294117647058826,0.3872983346207417
intercafe.csv,0.5,0.75,0.8804347826086957,0.8518518518518519,0.6,0.6123724356957945
ivy-2.0.csv,0.59375,0.475,0.830448717948718,0.9034090909090909,0.5277777777777778,0.5310661446562001
jedit-4.3.csv,0.10638297872340426,0.45454545454545453,0.8383103383103383,0.9024390243902439,0.17241379310344826,0.21989974856677122
kalkulator.csv,0.5,0.5,0.8174603174603174,0.7777777777777778,0.5,0.5
log4j-1.2.csv,0.9558823529411765,0.6878306878306878,0.7027116402116402,0.6829268292682927,0.7999999999999999,0.8108546209455464
lucene-2.4.csv,0.8542713567839196,0.8374384236453202,0.8580777390241272,0.8176470588235294,0.845771144278607,0.8458130162101282
nieruchomosci.csv,0.8181818181818182,0.9,0.9411764705882353,0.8888888888888888,0.8571428571428572,0.8581163303210332
pbeans2.csv,0.6666666666666666,0.6,0.7128205128205128,0.8571428571428571,0.631578947368421,0.6324555320336759
pdftranslator.csv,1.0,0.8666666666666667,0.9574074074074075,0.9393939393939394,0.9285714285714286,0.9309493362512627
poi-2.5.csv,0.8821138211382114,0.875,0.9049623263480103,0.8441558441558441,0.8785425101214575,0.8785497103157766
prop-6.csv,0.2818181818181818,0.4696969696969697,0.7289434751555964,0.8272727272727273,0.3522727272727273,0.3638257082800907
redaktor.csv,0.38235294117647056,0.48148148148148145,0.7723092219736515,0.8011363636363636,0.4262295081967213,0.4290639352898922
serapion.csv,0.5454545454545454,0.6666666666666666,0.882716049382716,0.8222222222222222,0.6,0.6030226891555273
skarbonka.csv,0.46153846153846156,0.6666666666666666,0.7993827160493827,0.7777777777777778,0.5454545454545455,0.5547001962252291
sklebagd.csv,0.7692307692307693,0.8333333333333334,0.9010416666666667,0.75,0.8,0.8006407690254357
synapse-1.2.csv,0.7195121951219512,0.686046511627907,0.8285909712722299,0.8046875,0.7023809523809523,0.7025801246385729
systemdata.csv,0.375,0.3333333333333333,0.6944444444444444,0.8307692307692308,0.35294117647058826,0.3535533905932738
szybkafucha.csv,0.7272727272727273,0.5714285714285714,0.7857142857142857,0.64,0.64,0.6446583712203042
termoproject.csv,0.7692307692307693,0.7692307692307693,0.896551724137931,0.8571428571428571,0.7692307692307693,0.7692307692307693
tomcat.csv,0.3884297520661157,0.6103896103896104,0.8251741856095248,0.8787878787878788,0.47474747474747475,0.4869224630548167
velocity-1.6.csv,0.75,0.7307692307692307,0.837069111903549,0.8253275109170306,0.7402597402597402,0.7403221751892368
workflow.csv,0.5625,0.45,0.5263157894736843,0.5384615384615384,0.5,0.5031152949374527
wspomaganiepi.csv,0.9230769230769231,1.0,0.9305555555555556,0.9444444444444444,0.9600000000000001,0.9607689228305228
xalan-2.7.csv,0.996551724137931,0.965478841870824,0.9429540392792064,0.9625962596259626,0.9807692307692307,0.9808922491716725
xerces-1.4.csv,0.9577464788732394,0.9336384439359268,0.938859169230303,0.9200680272108843,0.9455388180764773,0.9456156366200403
zuzel.csv,0.8461538461538461,0.8461538461538461,0.8990384615384616,0.8620689655172413,0.8461538461538461,0.8461538461538461
